AA	0.73
AKs	0.51
AKo	0.48
AQs	0.49
AQo	0.47
AJs	0.48
AJo	0.46
ATs	0.47
ATo	0.44
A9s	0.45
A9o	0.42
A8s	0.44
A8o	0.41
A7s	0.43
A7o	0.39
A6s	0.41
A6o	0.38
A5s	0.41
A5o	0.38
A4s	0.40
A4o	0.37
A3s	0.39
A3o	0.36
A2s	0.39
A2o	0.35
KK	0.69
KQs	0.47
KQo	0.44
KJs	0.46
KJo	0.43
KTs	0.45
KTo	0.42
K9s	0.42
K9o	0.40
K8s	0.40
K8o	0.37
K7s	0.39
K7o	0.36
K6s	0.38
K6o	0.35
K5s	0.37
K5o	0.34
K4s	0.36
K4o	0.33
K3s	0.36
K3o	0.32
K2s	0.35
K2o	0.31
QQ	0.65
QJs	0.44
QJo	0.41
QTs	0.43
QTo	0.40
Q9s	0.41
Q9o	0.38
Q8s	0.39
Q8o	0.35
Q7s	0.37
Q7o	0.33
Q6s	0.36
Q6o	0.32
Q5s	0.35
Q5o	0.31
Q4s	0.34
Q4o	0.30
Q3s	0.33
Q3o	0.29
Q2s	0.32
Q2o	0.28
JJ	0.61
JTs	0.42
JTo	0.39
J9s	0.40
J9o	0.37
J8s	0.38
J8o	0.34
J7s	0.35
J7o	0.32
J6s	0.34
J6o	0.30
J5s	0.33
J5o	0.29
J4s	0.32
J4o	0.28
J3s	0.31
J3o	0.27
J2s	0.30
J2o	0.26
TT	0.58
T9s	0.39
T9o	0.36
T8s	0.37
T8o	0.34
T7s	0.35
T7o	0.31
T6s	0.33
T6o	0.29
T5s	0.31
T5o	0.27
T4s	0.30
T4o	0.26
T3s	0.29
T3o	0.26
T2s	0.29
T2o	0.25
99	0.54
98s	0.36
98o	0.33
97s	0.34
97o	0.31
96s	0.32
96o	0.29
95s	0.30
95o	0.27
94s	0.28
94o	0.25
93s	0.28
93o	0.24
92s	0.27
92o	0.23
88	0.50
87s	0.34
87o	0.31
86s	0.32
86o	0.29
85s	0.30
85o	0.27
84s	0.28
84o	0.24
83s	0.26
83o	0.22
82s	0.26
82o	0.22
77	0.46
76s	0.32
76o	0.29
75s	0.30
75o	0.27
74s	0.28
74o	0.25
73s	0.26
73o	0.22
72s	0.25
72o	0.20
66	0.43
65s	0.30
65o	0.27
64s	0.29
64o	0.25
63s	0.27
63o	0.23
62s	0.25
62o	0.21
55	0.40
54s	0.29
54o	0.25
53s	0.27
53o	0.23
52s	0.25
52o	0.21
44	0.37
43s	0.26
43o	0.22
42s	0.25
42o	0.21
33	0.34
32s	0.24
32o	0.20
22	0.31
